order_id,customer_id,amount,order_date
ORD0109,CUST075,4999,2026-08-02
ORD0110,CUST080,499,2026-08-14
ORD0111,CUST085,4999,2026-08-19
ORD0112,CUST067,1999,2026-08-09
ORD0113,CUST027,1999,2026-08-08
ORD0114,CUST034,2499,2026-08-05
ORD0115,CUST086,1499,2026-08-15
ORD0116,CUST041,499,2026-08-01
ORD0117,CUST059,4999,2026-08-19
ORD0118,CUST013,499,2026-08-18
ORD0119,CUST028,3999,2026-08-09
ORD0120,CUST017,1999,2026-08-03
ORD0121,CUST032,1999,2026-08-10
ORD0122,CUST021,2999,2026-08-18
ORD0123,CUST091,1499,2026-08-20
ORD0124,CUST084,3999,2026-08-01
ORD0125,CUST086,3999,2026-08-10
ORD0126,CUST085,499,2026-08-05
ORD0127,CUST034,499,2026-08-04
ORD0128,CUST096,3999,2026-08-05
ORD0129,CUST035,1499,2026-08-20
ORD0130,CUST027,1999,2026-08-07
ORD0131,CUST088,1499,2026-08-17
ORD0132,CUST063,1499,2026-08-02
ORD0133,CUST012,2499,2026-08-09
ORD0134,CUST006,299,2026-08-11
ORD0135,CUST099,799,2026-08-21
ORD0136,CUST034,799,2026-08-15
ORD0137,CUST071,2499,2026-08-18
ORD0138,CUST002,499,2026-08-03
ORD0139,CUST089,799,2026-08-18
ORD0140,CUST005,1999,2026-08-19
ORD0141,CUST071,799,2026-08-14
ORD0142,CUST017,299,2026-08-10
ORD0143,CUST047,299,2026-08-12
ORD0144,CUST027,999,2026-08-04
ORD0145,CUST046,3999,2026-08-14
ORD0146,CUST080,799,2026-08-08
ORD0147,CUST021,799,2026-08-14
ORD0148,CUST004,799,2026-08-11
ORD0149,CUST053,999,2026-08-09
ORD0150,CUST021,499,2026-08-13
ORD0151,CUST005,2999,2026-08-08
ORD0152,CUST026,2999,2026-08-12
ORD0153,CUST040,999,2026-08-08
ORD0154,CUST004,999,2026-08-13
ORD0155,CUST043,1499,2026-08-03
ORD0156,CUST099,1499,2026-08-12
ORD0157,CUST083,3999,2026-08-13
ORD0158,CUST087,3999,2026-08-11
ORD0159,CUST004,499,2026-08-09
ORD0160,CUST023,4999,2026-08-09
ORD0161,CUST005,499,2026-08-20
ORD0162,CUST056,1999,2026-08-11
ORD0163,CUST056,4999,2026-08-17
ORD0164,CUST015,2499,2026-08-19
ORD0165,CUST025,1499,2026-08-02
ORD0166,CUST091,2499,2026-08-01
ORD0167,CUST067,3999,2026-08-07
ORD0168,CUST047,2499,2026-08-03
ORD0169,CUST086,1999,2026-08-20
ORD0170,CUST041,499,2026-08-10
ORD0171,CUST065,1499,2026-08-14
ORD0172,CUST042,2499,2026-08-10
ORD0173,CUST071,799,2026-08-07
ORD0174,CUST054,2499,2026-08-06
ORD0175,CUST079,4999,2026-08-10
ORD0176,CUST052,3999,2026-08-01
ORD0177,CUST039,1499,2026-08-07
ORD0178,CUST056,4999,2026-08-20
ORD0179,CUST084,1999,2026-08-15
ORD0180,CUST057,2999,2026-08-07
ORD0181,CUST066,2999,2026-08-06
ORD0182,CUST085,499,2026-08-10
ORD0183,CUST066,4999,2026-08-11
ORD0184,CUST012,999,2026-08-10
ORD0185,CUST029,999,2026-08-05
ORD0186,CUST004,299,2026-08-08
ORD0187,CUST061,4999,2026-08-03
ORD0188,CUST059,2499,2026-08-21
ORD0189,CUST074,999,2026-08-13
ORD0190,CUST064,2499,2026-08-08
ORD0191,CUST019,299,2026-08-04
ORD0192,CUST100,2499,2026-08-08
ORD0193,CUST023,3999,2026-08-15
ORD0194,CUST007,3999,2026-08-08
ORD0195,CUST016,2999,2026-08-05
ORD0196,CUST060,3999,2026-08-18
ORD0197,CUST077,1999,2026-08-15
ORD0198,CUST079,3999,2026-08-14
ORD0199,CUST071,2999,2026-08-06
ORD0200,CUST096,2999,2026-08-15
ORD0201,CUST034,999,2026-08-21
ORD0202,CUST036,3999,2026-08-16
ORD0203,CUST081,999,2026-08-09
ORD0204,CUST057,499,2026-08-10
ORD0205,CUST031,1499,2026-08-11
ORD0206,CUST041,3999,2026-08-03
ORD0207,CUST018,799,2026-08-08
ORD0208,CUST050,799,2026-08-07
ORD0209,CUST009,2499,2026-08-14
ORD0210,CUST043,3999,2026-08-15
ORD0211,CUST054,299,2026-08-07
ORD0212,CUST054,2499,2026-08-19
ORD0213,CUST090,299,2026-08-19
ORD0214,CUST049,2999,2026-08-01
ORD0215,CUST046,1499,2026-08-13
ORD0216,CUST054,3999,2026-08-18
ORD0217,CUST078,999,2026-08-16
ORD0218,CUST029,1499,2026-08-14
ORD0219,CUST063,299,2026-08-13
ORD0220,CUST044,2499,2026-08-06
ORD0221,CUST060,799,2026-08-20
ORD0222,CUST069,299,2026-08-13
ORD0223,CUST076,4999,2026-08-01
ORD0224,CUST011,2499,2026-08-05
ORD0225,CUST060,799,2026-08-02
ORD0226,CUST034,2499,2026-08-11
ORD0227,CUST028,2999,2026-08-11
ORD0228,CUST044,2499,2026-08-09
ORD0229,CUST097,2499,2026-08-09
ORD0230,CUST011,2999,2026-08-01
ORD0231,CUST096,3999,2026-08-02
ORD0232,CUST045,999,2026-08-21
ORD0233,CUST009,299,2026-08-01
ORD0234,CUST032,999,2026-08-01
ORD0235,CUST080,799,2026-08-08
ORD0236,CUST017,2999,2026-08-04
ORD0237,CUST073,999,2026-08-15
ORD0238,CUST090,1499,2026-08-12
ORD0239,CUST022,4999,2026-08-20
ORD0240,CUST096,499,2026-08-06
ORD0241,CUST040,499,2026-08-19
ORD0242,CUST004,1499,2026-08-19
ORD0243,CUST087,2499,2026-08-13
ORD0244,CUST092,999,2026-08-03
ORD0245,CUST076,999,2026-08-04
ORD0246,CUST090,1499,2026-08-20
ORD0247,CUST016,4999,2026-08-02
ORD0248,CUST045,3999,2026-08-14
ORD0249,CUST085,1999,2026-08-03
ORD0250,CUST065,1999,2026-08-01
