settlement_id,payment_id,order_id,amount,settlement_date
SET0094,PAY0104,ORD0110,499,2026-08-14
SET0095,PAY0105,ORD0111,4999,2026-08-19
SET0096,PAY0106,ORD0112,1999,2026-08-09
SET0097,PAY0107,ORD0113,1999,2026-08-08
SET0098,PAY0108,ORD0114,2499,2026-08-05
SET0099,PAY0109,ORD0115,1499,2026-08-15
SET0100,PAY0111,ORD0117,4999,2026-08-19
SET0101,PAY0112,ORD0118,499,2026-08-18
SET0102,PAY0113,ORD0119,3999,2026-08-09
SET0103,PAY0114,ORD0120,1999,2026-08-03
SET0104,PAY0115,ORD0121,1999,2026-08-10
SET0105,PAY0116,ORD0122,2999,2026-08-18
SET0106,PAY0117,ORD0123,1499,2026-08-20
SET0107,PAY0118,ORD0124,3999,2026-08-01
SET0108,PAY0119,ORD0125,3999,2026-08-10
SET0109,PAY0120,ORD0126,499,2026-08-05
SET0110,PAY0121,ORD0127,499,2026-08-04
SET0111,PAY0123,ORD0129,1499,2026-08-20
SET0112,PAY0125,ORD0131,1499,2026-08-17
SET0113,PAY0126,ORD0132,1499,2026-08-02
SET0114,PAY0127,ORD0133,2499,2026-08-09
SET0115,PAY0128,ORD0134,299,2026-08-11
SET0116,PAY0129,ORD0135,799,2026-08-21
SET0117,PAY0130,ORD0136,799,2026-08-15
SET0118,PAY0131,ORD0137,2449,2026-08-18
SET0119,PAY0132,ORD0138,499,2026-08-03
SET0120,PAY0134,ORD0140,1999,2026-08-19
SET0121,PAY0136,ORD0142,299,2026-08-10
SET0122,PAY0137,ORD0143,299,2026-08-12
SET0123,PAY0140,ORD0146,799,2026-08-08
SET0124,PAY0141,ORD0147,799,2026-08-14
SET0125,PAY0142,ORD0148,799,2026-08-11
SET0126,PAY0143,ORD0149,999,2026-08-09
SET0127,PAY0144,ORD0150,499,2026-08-13
SET0128,PAY0145,ORD0151,2999,2026-08-08
SET0129,PAY0146,ORD0152,2999,2026-08-12
SET0130,PAY0147,ORD0153,999,2026-08-08
SET0131,PAY0148,ORD0154,999,2026-08-13
SET0132,PAY0149,ORD0155,1499,2026-08-03
SET0133,PAY0151,ORD0157,3999,2026-08-13
SET0134,PAY0152,ORD0159,-1,2026-08-09
SET0135,PAY0153,ORD0160,4999,2026-08-09
SET0136,PAY0154,ORD0163,4999,2026-08-17
SET0137,PAY0155,ORD0164,2499,2026-08-19
SET0138,PAY0157,ORD0166,2499,2026-08-01
SET0139,PAY0158,ORD0167,3999,2026-08-07
SET0140,PAY0159,ORD0168,2499,2026-08-03
SET0141,PAY0161,ORD0170,499,2026-08-10
SET0142,PAY0162,ORD0171,1499,2026-08-14
SET0143,PAY0163,ORD0172,2499,2026-08-10
SET0144,PAY0165,ORD0174,2499,2026-08-06
SET0145,PAY0166,ORD0175,4999,2026-08-10
SET0146,PAY0167,ORD0176,3999,2026-08-01
SET0147,PAY0168,ORD0177,1499,2026-08-07
SET0148,PAY0169,ORD0178,4999,2026-08-20
SET0149,PAY0170,ORD0179,1999,2026-08-15
SET0150,PAY0171,ORD0180,2999,2026-08-07
SET0151,PAY0172,ORD0181,2999,2026-08-06
SET0152,PAY0174,ORD0183,4999,2026-08-11
SET0153,PAY0175,ORD0184,999,2026-08-10
SET0154,PAY0176,ORD0185,999,2026-08-05
SET0155,PAY0177,ORD0186,299,2026-08-08
SET0156,PAY0178,ORD0187,4999,2026-08-03
SET0157,PAY0179,ORD0189,999,2026-08-13
SET0158,PAY0180,ORD0190,2499,2026-08-08
SET0159,PAY0182,ORD0193,3999,2026-08-15
SET0160,PAY0183,ORD0194,3999,2026-08-08
SET0161,PAY0184,ORD0195,2999,2026-08-05
SET0162,PAY0186,ORD0197,1999,2026-08-15
SET0163,PAY0187,ORD0198,3999,2026-08-14
SET0164,PAY0188,ORD0199,2999,2026-08-06
SET0165,PAY0189,ORD0200,2949,2026-08-15
SET0166,PAY0191,ORD0202,3999,2026-08-16
SET0167,PAY0192,ORD0203,999,2026-08-09
SET0168,PAY0193,ORD0204,499,2026-08-10
SET0169,PAY0194,ORD0205,1449,2026-08-11
SET0170,PAY0195,ORD0207,799,2026-08-08
SET0171,PAY0196,ORD0208,799,2026-08-07
SET0172,PAY0197,ORD0209,2499,2026-08-14
SET0173,PAY0198,ORD0210,3999,2026-08-15
SET0174,PAY0199,ORD0211,299,2026-08-07
SET0175,PAY0200,ORD0212,2499,2026-08-19
SET0176,PAY0201,ORD0214,2999,2026-08-01
SET0177,PAY0202,ORD0215,1499,2026-08-13
SET0178,PAY0203,ORD0216,3999,2026-08-18
SET0179,PAY0204,ORD0217,999,2026-08-16
SET0180,PAY0205,ORD0218,1499,2026-08-14
SET0181,PAY0206,ORD0219,299,2026-08-13
SET0182,PAY0207,ORD0220,2499,2026-08-06
SET0183,PAY0208,ORD0221,799,2026-08-20
SET0184,PAY0209,ORD0222,299,2026-08-13
SET0185,PAY0210,ORD0224,2499,2026-08-05
SET0186,PAY0211,ORD0225,799,2026-08-02
SET0187,PAY0213,ORD0227,2499,2026-08-11
SET0188,PAY0214,ORD0228,2499,2026-08-09
SET0189,PAY0215,ORD0229,2499,2026-08-09
SET0190,PAY0216,ORD0230,2999,2026-08-01
SET0191,PAY0217,ORD0231,3999,2026-08-02
SET0192,PAY0218,ORD0232,999,2026-08-21
SET0193,PAY0219,ORD0233,299,2026-08-01
SET0194,PAY0220,ORD0234,999,2026-08-01
SET0195,PAY0221,ORD0235,799,2026-08-08
SET0196,PAY0222,ORD0236,2999,2026-08-04
SET0197,PAY0223,ORD0237,999,2026-08-15
SET0198,PAY0224,ORD0238,1499,2026-08-12
SET0199,PAY0225,ORD0239,4999,2026-08-20
SET0200,PAY0226,ORD0241,499,2026-08-19
SET0201,PAY0227,ORD0242,999,2026-08-19
SET0202,PAY0228,ORD0243,2499,2026-08-13
SET0203,PAY0229,ORD0244,999,2026-08-03
SET0204,PAY0230,ORD0245,999,2026-08-04
SET0205,PAY0231,ORD0246,1499,2026-08-20
SET0206,PAY0232,ORD0247,4999,2026-08-02
SET0207,PAY0233,ORD0248,3999,2026-08-14
SET0208,PAY0234,ORD0249,1999,2026-08-03
