order_id,customer_id,amount_order,order_date,payment_id,amount_payment,status,payment_date,settlement_id,payment_id_settlement,amount,settlement_date,reconciliation_status
ORD0050,CUST097,1499,2026-08-21,PAY0048,1499.0,success,2026-08-21,SET0044,PAY0048,1499.0,2026-08-21,Matched
ORD0051,CUST044,499,2026-08-10,PAY0049,499.0,success,2026-08-10,SET0045,PAY0049,499.0,2026-08-10,Matched
ORD0052,CUST056,799,2026-08-15,PAY0050,799.0,success,2026-08-15,,,,,Missing Settlement
ORD0053,CUST001,1499,2026-08-17,PAY0051,1499.0,success,2026-08-17,SET0046,PAY0051,1499.0,2026-08-17,Matched
ORD0054,CUST098,799,2026-08-17,PAY0052,799.0,success,2026-08-17,SET0047,PAY0052,799.0,2026-08-17,Matched
ORD0055,CUST014,1499,2026-08-21,PAY0053,1499.0,success,2026-08-21,SET0048,PAY0053,1499.0,2026-08-21,Matched
ORD0056,CUST065,4999,2026-08-07,PAY0054,4999.0,success,2026-08-07,SET0049,PAY0054,4999.0,2026-08-07,Matched
ORD0057,CUST020,1999,2026-08-06,PAY0055,1999.0,success,2026-08-06,SET0050,PAY0055,1999.0,2026-08-06,Matched
ORD0058,CUST070,3999,2026-08-01,PAY0056,3999.0,success,2026-08-01,SET0051,PAY0056,3999.0,2026-08-01,Matched
ORD0059,CUST077,1999,2026-08-16,PAY0057,1999.0,success,2026-08-16,SET0052,PAY0057,1999.0,2026-08-16,Matched
ORD0060,CUST003,499,2026-08-12,PAY0058,499.0,success,2026-08-12,SET0053,PAY0058,499.0,2026-08-12,Matched
ORD0061,CUST040,999,2026-08-02,PAY0059,999.0,success,2026-08-02,SET0054,PAY0059,999.0,2026-08-02,Matched
ORD0062,CUST031,4999,2026-08-03,PAY0060,4999.0,success,2026-08-03,SET0055,PAY0060,4999.0,2026-08-03,Matched
ORD0063,CUST011,2999,2026-08-03,PAY0061,2999.0,success,2026-08-03,SET0056,PAY0061,2999.0,2026-08-03,Matched
ORD0064,CUST098,3999,2026-08-05,PAY0062,3999.0,success,2026-08-05,SET0057,PAY0062,3999.0,2026-08-05,Matched
ORD0065,CUST017,2999,2026-08-18,PAY0063,2999.0,success,2026-08-18,SET0058,PAY0063,2999.0,2026-08-18,Matched
ORD0066,CUST022,1499,2026-08-17,PAY0064,1499.0,success,2026-08-17,,,,,Missing Settlement
ORD0067,CUST078,2499,2026-08-07,,,,,,,,,Missing Payment
ORD0068,CUST070,999,2026-08-10,PAY0065,999.0,success,2026-08-10,SET0059,PAY0065,999.0,2026-08-10,Matched
ORD0069,CUST052,1999,2026-08-15,PAY0066,1999.0,success,2026-08-15,SET0060,PAY0066,1999.0,2026-08-15,Matched
ORD0070,CUST067,2999,2026-08-04,PAY0067,2999.0,success,2026-08-04,SET0061,PAY0067,2999.0,2026-08-04,Matched
ORD0071,CUST032,999,2026-08-03,PAY0068,999.0,success,2026-08-03,SET0062,PAY0068,999.0,2026-08-03,Matched
ORD0072,CUST044,299,2026-08-19,PAY0069,299.0,success,2026-08-19,SET0063,PAY0069,299.0,2026-08-19,Matched
ORD0073,CUST071,999,2026-08-19,PAY0070,999.0,success,2026-08-19,SET0064,PAY0070,999.0,2026-08-19,Matched
ORD0074,CUST029,299,2026-08-03,PAY0071,299.0,success,2026-08-03,,,,,Duplicate Payment
ORD0075,CUST091,299,2026-08-08,PAY0072,299.0,success,2026-08-08,SET0065,PAY0072,299.0,2026-08-08,Matched
ORD0076,CUST009,299,2026-08-11,PAY0073,299.0,success,2026-08-11,SET0066,PAY0073,299.0,2026-08-11,Matched
ORD0077,CUST010,3999,2026-08-08,,,,,,,,,Missing Payment
ORD0078,CUST036,2999,2026-08-07,PAY0074,2999.0,success,2026-08-07,SET0067,PAY0074,2999.0,2026-08-07,Matched
ORD0079,CUST070,799,2026-08-19,PAY0075,799.0,success,2026-08-19,SET0068,PAY0075,799.0,2026-08-19,Matched
ORD0080,CUST074,2999,2026-08-08,PAY0076,2999.0,success,2026-08-08,SET0069,PAY0076,2999.0,2026-08-08,Matched
ORD0081,CUST061,2499,2026-08-07,PAY0077,2499.0,success,2026-08-07,SET0070,PAY0077,2499.0,2026-08-07,Matched
ORD0082,CUST013,499,2026-08-14,PAY0078,499.0,success,2026-08-14,SET0071,PAY0078,499.0,2026-08-14,Matched
ORD0083,CUST046,2499,2026-08-14,PAY0079,2499.0,success,2026-08-14,SET0072,PAY0079,2499.0,2026-08-14,Matched
ORD0084,CUST060,299,2026-08-21,PAY0080,299.0,success,2026-08-21,SET0073,PAY0080,299.0,2026-08-21,Matched
ORD0085,CUST083,499,2026-08-02,PAY0081,499.0,success,2026-08-02,SET0074,PAY0081,499.0,2026-08-02,Matched
ORD0086,CUST052,1999,2026-08-04,PAY0082,1999.0,success,2026-08-04,SET0075,PAY0082,1999.0,2026-08-04,Matched
ORD0087,CUST032,999,2026-08-07,PAY0083,999.0,success,2026-08-07,SET0076,PAY0083,999.0,2026-08-07,Matched
ORD0088,CUST069,2999,2026-08-05,PAY0084,2999.0,success,2026-08-05,SET0077,PAY0084,2999.0,2026-08-05,Matched
ORD0089,CUST055,799,2026-08-09,PAY0085,799.0,success,2026-08-09,SET0078,PAY0085,299.0,2026-08-09,Settlement Mismatch
ORD0090,CUST060,999,2026-08-03,PAY0086,999.0,success,2026-08-03,SET0079,PAY0086,999.0,2026-08-03,Matched
ORD0091,CUST057,3999,2026-08-04,PAY0087,3999.0,success,2026-08-04,,,,,Missing Settlement
ORD0092,CUST007,3999,2026-08-01,PAY0088,3999.0,success,2026-08-01,SET0080,PAY0088,3999.0,2026-08-01,Matched
ORD0093,CUST012,999,2026-08-06,PAY0089,999.0,success,2026-08-06,,,,,Missing Settlement
ORD0094,CUST053,2999,2026-08-16,PAY0090,2999.0,success,2026-08-16,SET0081,PAY0090,2999.0,2026-08-16,Matched
ORD0095,CUST028,2499,2026-08-02,PAY0091,2499.0,success,2026-08-02,SET0082,PAY0091,2499.0,2026-08-02,Matched
ORD0096,CUST022,2499,2026-08-01,PAY0092,2499.0,success,2026-08-01,SET0083,PAY0092,2499.0,2026-08-01,Matched
ORD0097,CUST050,1499,2026-08-15,PAY0093,1499.0,success,2026-08-15,SET0084,PAY0093,1499.0,2026-08-15,Matched
ORD0098,CUST037,2499,2026-08-18,PAY0094,2499.0,success,2026-08-18,SET0085,PAY0094,2499.0,2026-08-18,Matched
ORD0099,CUST085,2999,2026-08-05,,,,,,,,,Missing Payment
ORD0100,CUST025,1499,2026-08-07,PAY0095,1499.0,success,2026-08-07,SET0086,PAY0095,1499.0,2026-08-07,Matched
ORD0101,CUST008,4999,2026-08-18,PAY0096,4999.0,success,2026-08-18,SET0087,PAY0096,4999.0,2026-08-18,Matched
ORD0102,CUST008,1999,2026-08-02,PAY0097,1999.0,success,2026-08-02,SET0088,PAY0097,1999.0,2026-08-02,Matched
ORD0103,CUST007,4999,2026-08-16,PAY0098,4999.0,success,2026-08-16,,,,,Missing Settlement
ORD0104,CUST065,3999,2026-08-06,PAY0099,3999.0,success,2026-08-06,SET0089,PAY0099,3999.0,2026-08-06,Matched
ORD0105,CUST008,3999,2026-08-03,PAY0100,3999.0,success,2026-08-03,SET0090,PAY0100,3999.0,2026-08-03,Matched
ORD0106,CUST024,499,2026-08-20,PAY0101,499.0,success,2026-08-20,SET0091,PAY0101,499.0,2026-08-20,Matched
ORD0107,CUST009,999,2026-08-13,PAY0102,999.0,success,2026-08-13,SET0092,PAY0102,999.0,2026-08-13,Matched
ORD0108,CUST016,4999,2026-08-08,PAY0103,4999.0,success,2026-08-08,SET0093,PAY0103,4999.0,2026-08-08,Matched
ORD0109,CUST075,4999,2026-08-02,,,,,,,,,Missing Payment
ORD0110,CUST080,499,2026-08-14,PAY0104,499.0,success,2026-08-14,SET0094,PAY0104,499.0,2026-08-14,Matched
ORD0111,CUST085,4999,2026-08-19,PAY0105,4999.0,success,2026-08-19,SET0095,PAY0105,4999.0,2026-08-19,Matched
ORD0112,CUST067,1999,2026-08-09,PAY0106,1999.0,success,2026-08-09,SET0096,PAY0106,1999.0,2026-08-09,Matched
ORD0113,CUST027,1999,2026-08-08,PAY0107,1999.0,success,2026-08-08,SET0097,PAY0107,1999.0,2026-08-08,Matched
ORD0114,CUST034,2499,2026-08-05,PAY0108,2499.0,success,2026-08-05,SET0098,PAY0108,2499.0,2026-08-05,Matched
ORD0115,CUST086,1499,2026-08-15,PAY0109,1499.0,success,2026-08-15,SET0099,PAY0109,1499.0,2026-08-15,Matched
ORD0116,CUST041,499,2026-08-01,PAY0110,499.0,success,2026-08-01,,,,,Missing Settlement
ORD0117,CUST059,4999,2026-08-19,PAY0111,4999.0,success,2026-08-19,SET0100,PAY0111,4999.0,2026-08-19,Matched
ORD0118,CUST013,499,2026-08-18,PAY0112,499.0,success,2026-08-18,SET0101,PAY0112,499.0,2026-08-18,Matched
ORD0119,CUST028,3999,2026-08-09,PAY0113,3999.0,success,2026-08-09,SET0102,PAY0113,3999.0,2026-08-09,Matched
ORD0120,CUST017,1999,2026-08-03,PAY0114,1999.0,success,2026-08-03,SET0103,PAY0114,1999.0,2026-08-03,Matched
ORD0121,CUST032,1999,2026-08-10,PAY0115,1999.0,success,2026-08-10,SET0104,PAY0115,1999.0,2026-08-10,Matched
ORD0122,CUST021,2999,2026-08-18,PAY0116,2999.0,success,2026-08-18,SET0105,PAY0116,2999.0,2026-08-18,Matched
ORD0123,CUST091,1499,2026-08-20,PAY0117,1499.0,success,2026-08-20,SET0106,PAY0117,1499.0,2026-08-20,Matched
ORD0124,CUST084,3999,2026-08-01,PAY0118,3999.0,success,2026-08-01,SET0107,PAY0118,3999.0,2026-08-01,Matched
ORD0125,CUST086,3999,2026-08-10,PAY0119,3999.0,success,2026-08-10,SET0108,PAY0119,3999.0,2026-08-10,Matched
ORD0126,CUST085,499,2026-08-05,PAY0120,499.0,success,2026-08-05,SET0109,PAY0120,499.0,2026-08-05,Matched
ORD0127,CUST034,499,2026-08-04,PAY0121,499.0,success,2026-08-04,SET0110,PAY0121,499.0,2026-08-04,Matched
ORD0128,CUST096,3999,2026-08-05,PAY0122,3999.0,success,2026-08-05,,,,,Missing Settlement
ORD0129,CUST035,1499,2026-08-20,PAY0123,1499.0,success,2026-08-20,SET0111,PAY0123,1499.0,2026-08-20,Matched
ORD0130,CUST027,1999,2026-08-07,PAY0124,1999.0,success,2026-08-07,,,,,Missing Settlement
ORD0131,CUST088,1499,2026-08-17,PAY0125,1499.0,success,2026-08-17,SET0112,PAY0125,1499.0,2026-08-17,Matched
ORD0132,CUST063,1499,2026-08-02,PAY0126,1499.0,success,2026-08-02,SET0113,PAY0126,1499.0,2026-08-02,Matched
ORD0133,CUST012,2499,2026-08-09,PAY0127,2499.0,success,2026-08-09,SET0114,PAY0127,2499.0,2026-08-09,Matched
ORD0134,CUST006,299,2026-08-11,PAY0128,299.0,success,2026-08-11,SET0115,PAY0128,299.0,2026-08-11,Matched
ORD0135,CUST099,799,2026-08-21,PAY0129,799.0,success,2026-08-21,SET0116,PAY0129,799.0,2026-08-21,Matched
ORD0136,CUST034,799,2026-08-15,PAY0130,799.0,success,2026-08-15,SET0117,PAY0130,799.0,2026-08-15,Matched
ORD0137,CUST071,2499,2026-08-18,PAY0131,2499.0,success,2026-08-18,SET0118,PAY0131,2449.0,2026-08-18,Settlement Mismatch
ORD0138,CUST002,499,2026-08-03,PAY0132,499.0,success,2026-08-03,SET0119,PAY0132,499.0,2026-08-03,Matched
ORD0139,CUST089,799,2026-08-18,PAY0133,799.0,success,2026-08-18,,,,,Missing Settlement
ORD0140,CUST005,1999,2026-08-19,PAY0134,1999.0,success,2026-08-19,SET0120,PAY0134,1999.0,2026-08-19,Matched
ORD0141,CUST071,799,2026-08-14,PAY0135,799.0,success,2026-08-14,,,,,Missing Settlement
ORD0142,CUST017,299,2026-08-10,PAY0136,299.0,success,2026-08-10,SET0121,PAY0136,299.0,2026-08-10,Matched
ORD0143,CUST047,299,2026-08-12,PAY0137,299.0,success,2026-08-12,SET0122,PAY0137,299.0,2026-08-12,Matched
ORD0144,CUST027,999,2026-08-04,PAY0138,999.0,success,2026-08-04,,,,,Missing Settlement
ORD0145,CUST046,3999,2026-08-14,PAY0139,3999.0,success,2026-08-14,,,,,Missing Settlement
ORD0146,CUST080,799,2026-08-08,PAY0140,799.0,success,2026-08-08,SET0123,PAY0140,799.0,2026-08-08,Matched
ORD0147,CUST021,799,2026-08-14,PAY0141,799.0,success,2026-08-14,SET0124,PAY0141,799.0,2026-08-14,Matched
ORD0148,CUST004,799,2026-08-11,PAY0142,799.0,success,2026-08-11,SET0125,PAY0142,799.0,2026-08-11,Matched
ORD0149,CUST053,999,2026-08-09,PAY0143,999.0,success,2026-08-09,SET0126,PAY0143,999.0,2026-08-09,Matched
ORD0150,CUST021,499,2026-08-13,PAY0144,499.0,success,2026-08-13,SET0127,PAY0144,499.0,2026-08-13,Matched
ORD0151,CUST005,2999,2026-08-08,PAY0145,2999.0,success,2026-08-08,SET0128,PAY0145,2999.0,2026-08-08,Matched
ORD0152,CUST026,2999,2026-08-12,PAY0146,2999.0,success,2026-08-12,SET0129,PAY0146,2999.0,2026-08-12,Matched
ORD0153,CUST040,999,2026-08-08,PAY0147,999.0,success,2026-08-08,SET0130,PAY0147,999.0,2026-08-08,Matched
ORD0154,CUST004,999,2026-08-13,PAY0148,999.0,success,2026-08-13,SET0131,PAY0148,999.0,2026-08-13,Matched
ORD0155,CUST043,1499,2026-08-03,PAY0149,1499.0,success,2026-08-03,SET0132,PAY0149,1499.0,2026-08-03,Matched
ORD0156,CUST099,1499,2026-08-12,PAY0150,1499.0,success,2026-08-12,,,,,Missing Settlement
ORD0157,CUST083,3999,2026-08-13,PAY0151,3999.0,success,2026-08-13,SET0133,PAY0151,3999.0,2026-08-13,Matched
ORD0158,CUST087,3999,2026-08-11,,,,,,,,,Missing Payment
ORD0159,CUST004,499,2026-08-09,PAY0152,499.0,success,2026-08-09,SET0134,PAY0152,-1.0,2026-08-09,Settlement Mismatch
ORD0160,CUST023,4999,2026-08-09,PAY0153,4999.0,success,2026-08-09,SET0135,PAY0153,4999.0,2026-08-09,Matched
ORD0161,CUST005,499,2026-08-20,,,,,,,,,Missing Payment
ORD0162,CUST056,1999,2026-08-11,,,,,,,,,Missing Payment
ORD0163,CUST056,4999,2026-08-17,PAY0154,4999.0,success,2026-08-17,SET0136,PAY0154,4999.0,2026-08-17,Matched
ORD0164,CUST015,2499,2026-08-19,PAY0155,2499.0,success,2026-08-19,SET0137,PAY0155,2499.0,2026-08-19,Matched
ORD0165,CUST025,1499,2026-08-02,PAY0156,1499.0,success,2026-08-02,,,,,Missing Settlement
ORD0166,CUST091,2499,2026-08-01,PAY0157,2499.0,success,2026-08-01,SET0138,PAY0157,2499.0,2026-08-01,Matched
ORD0167,CUST067,3999,2026-08-07,PAY0158,3999.0,success,2026-08-07,SET0139,PAY0158,3999.0,2026-08-07,Matched
ORD0168,CUST047,2499,2026-08-03,PAY0159,2499.0,success,2026-08-03,SET0140,PAY0159,2499.0,2026-08-03,Matched
ORD0169,CUST086,1999,2026-08-20,PAY0160,1999.0,success,2026-08-20,,,,,Duplicate Payment
ORD0170,CUST041,499,2026-08-10,PAY0161,499.0,success,2026-08-10,SET0141,PAY0161,499.0,2026-08-10,Matched
ORD0171,CUST065,1499,2026-08-14,PAY0162,1499.0,success,2026-08-14,SET0142,PAY0162,1499.0,2026-08-14,Matched
ORD0172,CUST042,2499,2026-08-10,PAY0163,2499.0,success,2026-08-10,SET0143,PAY0163,2499.0,2026-08-10,Duplicate Payment
ORD0173,CUST071,799,2026-08-07,PAY0164,799.0,success,2026-08-07,,,,,Missing Settlement
ORD0174,CUST054,2499,2026-08-06,PAY0165,2499.0,success,2026-08-06,SET0144,PAY0165,2499.0,2026-08-06,Matched
ORD0175,CUST079,4999,2026-08-10,PAY0166,4999.0,success,2026-08-10,SET0145,PAY0166,4999.0,2026-08-10,Matched
ORD0176,CUST052,3999,2026-08-01,PAY0167,3999.0,success,2026-08-01,SET0146,PAY0167,3999.0,2026-08-01,Matched
ORD0177,CUST039,1499,2026-08-07,PAY0168,1499.0,success,2026-08-07,SET0147,PAY0168,1499.0,2026-08-07,Matched
ORD0178,CUST056,4999,2026-08-20,PAY0169,4999.0,success,2026-08-20,SET0148,PAY0169,4999.0,2026-08-20,Matched
ORD0179,CUST084,1999,2026-08-15,PAY0170,1999.0,success,2026-08-15,SET0149,PAY0170,1999.0,2026-08-15,Matched
ORD0180,CUST057,2999,2026-08-07,PAY0171,2999.0,success,2026-08-07,SET0150,PAY0171,2999.0,2026-08-07,Matched
ORD0181,CUST066,2999,2026-08-06,PAY0172,2999.0,success,2026-08-06,SET0151,PAY0172,2999.0,2026-08-06,Matched
ORD0182,CUST085,499,2026-08-10,PAY0173,499.0,success,2026-08-10,,,,,Missing Settlement
ORD0183,CUST066,4999,2026-08-11,PAY0174,4999.0,success,2026-08-11,SET0152,PAY0174,4999.0,2026-08-11,Matched
ORD0184,CUST012,999,2026-08-10,PAY0175,999.0,success,2026-08-10,SET0153,PAY0175,999.0,2026-08-10,Matched
ORD0185,CUST029,999,2026-08-05,PAY0176,999.0,success,2026-08-05,SET0154,PAY0176,999.0,2026-08-05,Matched
ORD0186,CUST004,299,2026-08-08,PAY0177,299.0,success,2026-08-08,SET0155,PAY0177,299.0,2026-08-08,Matched
ORD0187,CUST061,4999,2026-08-03,PAY0178,4999.0,success,2026-08-03,SET0156,PAY0178,4999.0,2026-08-03,Matched
ORD0188,CUST059,2499,2026-08-21,,,,,,,,,Missing Payment
ORD0189,CUST074,999,2026-08-13,PAY0179,999.0,success,2026-08-13,SET0157,PAY0179,999.0,2026-08-13,Matched
ORD0190,CUST064,2499,2026-08-08,PAY0180,2499.0,success,2026-08-08,SET0158,PAY0180,2499.0,2026-08-08,Matched
ORD0191,CUST019,299,2026-08-04,,,,,,,,,Missing Payment
ORD0192,CUST100,2499,2026-08-08,PAY0181,2499.0,success,2026-08-08,,,,,Missing Settlement
ORD0193,CUST023,3999,2026-08-15,PAY0182,3999.0,success,2026-08-15,SET0159,PAY0182,3999.0,2026-08-15,Matched
ORD0194,CUST007,3999,2026-08-08,PAY0183,3999.0,success,2026-08-08,SET0160,PAY0183,3999.0,2026-08-08,Matched
ORD0195,CUST016,2999,2026-08-05,PAY0184,2999.0,success,2026-08-05,SET0161,PAY0184,2999.0,2026-08-05,Matched
ORD0196,CUST060,3999,2026-08-18,PAY0185,3999.0,success,2026-08-18,,,,,Missing Settlement
ORD0197,CUST077,1999,2026-08-15,PAY0186,1999.0,success,2026-08-15,SET0162,PAY0186,1999.0,2026-08-15,Matched
ORD0198,CUST079,3999,2026-08-14,PAY0187,3999.0,success,2026-08-14,SET0163,PAY0187,3999.0,2026-08-14,Matched
ORD0199,CUST071,2999,2026-08-06,PAY0188,2999.0,success,2026-08-06,SET0164,PAY0188,2999.0,2026-08-06,Matched
ORD0200,CUST096,2999,2026-08-15,PAY0189,2999.0,success,2026-08-15,SET0165,PAY0189,2949.0,2026-08-15,Settlement Mismatch
ORD0201,CUST034,999,2026-08-21,PAY0190,999.0,success,2026-08-21,,,,,Missing Settlement
ORD0202,CUST036,3999,2026-08-16,PAY0191,3999.0,success,2026-08-16,SET0166,PAY0191,3999.0,2026-08-16,Matched
ORD0203,CUST081,999,2026-08-09,PAY0192,999.0,success,2026-08-09,SET0167,PAY0192,999.0,2026-08-09,Matched
ORD0204,CUST057,499,2026-08-10,PAY0193,499.0,success,2026-08-10,SET0168,PAY0193,499.0,2026-08-10,Matched
ORD0205,CUST031,1499,2026-08-11,PAY0194,1499.0,success,2026-08-11,SET0169,PAY0194,1449.0,2026-08-11,Settlement Mismatch
ORD0206,CUST041,3999,2026-08-03,,,,,,,,,Missing Payment
ORD0207,CUST018,799,2026-08-08,PAY0195,799.0,success,2026-08-08,SET0170,PAY0195,799.0,2026-08-08,Matched
ORD0208,CUST050,799,2026-08-07,PAY0196,799.0,success,2026-08-07,SET0171,PAY0196,799.0,2026-08-07,Matched
ORD0209,CUST009,2499,2026-08-14,PAY0197,2499.0,success,2026-08-14,SET0172,PAY0197,2499.0,2026-08-14,Matched
ORD0210,CUST043,3999,2026-08-15,PAY0198,3999.0,success,2026-08-15,SET0173,PAY0198,3999.0,2026-08-15,Matched
ORD0211,CUST054,299,2026-08-07,PAY0199,299.0,success,2026-08-07,SET0174,PAY0199,299.0,2026-08-07,Matched
ORD0212,CUST054,2499,2026-08-19,PAY0200,2499.0,success,2026-08-19,SET0175,PAY0200,2499.0,2026-08-19,Matched
ORD0213,CUST090,299,2026-08-19,,,,,,,,,Missing Payment
ORD0214,CUST049,2999,2026-08-01,PAY0201,2999.0,success,2026-08-01,SET0176,PAY0201,2999.0,2026-08-01,Matched
ORD0215,CUST046,1499,2026-08-13,PAY0202,1499.0,success,2026-08-13,SET0177,PAY0202,1499.0,2026-08-13,Matched
ORD0216,CUST054,3999,2026-08-18,PAY0203,3999.0,success,2026-08-18,SET0178,PAY0203,3999.0,2026-08-18,Matched
ORD0217,CUST078,999,2026-08-16,PAY0204,999.0,success,2026-08-16,SET0179,PAY0204,999.0,2026-08-16,Matched
